"NOME","NUM","SEQ","SENTIDO","ITINERARY_ID","COD"
"Terminal Santa Cândida - 200 - Ligeirão Sta.Cândida/Pça. do Japão - 203 - Santa Cândida / Capão Raso","105901","1","Terminal Capão Raso","5562","203"
"Trav. Moreira Garcês - 205 - Barreirinha","101161","1","Terminal Barreirinha","539","205"
"Terminal Barreirinha - 205 - Barreirinha","104103","1","Moreira Garcez","538","205"
"Praça Osório - 207 -Cabral / Osório","103303","1","Terminal Cabral","8666","207"
"Terminal Cabral - 207 - Cabral / Osório","104412","1","Praça Osório","8677","207"
"Av. Paraná, 4752 - Santa Candida","120324","1","Capão Raso","546","209"
"Av. República Argentina, 5027 - Novo Mundo","170260","1","Santa Cândida","547","209"
"Terminal Cabral - 210 - CIC / Cabral - 700 - Pinheirinho / Cabral","109085","1","Terminal CIC","6212","210"
"Terminal CIC - 210 - CIC/Cabral - 601 - CIC / Tiradentes","109100","1","Terminal Cabral","6211","210"
"Terminal Cabral - 211 - Colina Verde","104407","1","Colina Verde","548","211"
"Av. Copaíba, 125 - Bairro Alto","130088","1","Terminal Cabral","549","211"
"Rua Moreno Roseira Penteado de Almeida, 176 - Bacacheri","130038","1","Terminal Cabral","551","212"
"Terminal Cabral - 212 - Solar","104409","1","Solar","550","212"
"Rua Bernardo Rosenmann, 254 - Tingui","130167","1","Terminal Cabral","12613","213"
"Terminal Cabral - 213 - São João","104408","1","São João","12614","213"
"Terminal Cabral - 214 - Tingui","104410","1","Terminal Santa Cândida","554","214"
"Terminal Santa Cândida - 214 - Tingui","105910","1","Terminal Cabral","555","214"
"Terminal Portão - 216 - Cabral / Portão","105806","1","Terminal Cabral","559","216"
"Terminal Cabral - 216 - Cabral / Portão","104404","1","Terminal Portão","558","216"
"R. Arnaldo Batista de Castro, 104-162 - Atuba","130929","1","Terminal Boa Vista","568","222"
"Terminal Boa Vista - 222 - Vila Esperança","104205","1","Vila Esperança","567","222"
"Terminal Boa Vista - 224 - Cassiopéia","104208","1","Cassiopéia (Circular)","569","224"
"Terminal Barreirinha - 225 - Boa Vista / Barreirinha","104105","1","Terminal Boa Vista","571","225"
"Terminal Boa Vista - 225 - Boa Vista/Barreirinha","104206","1","Terminal Barrerinha","570","225"
"Rua Amadeu Natal - Santa Candida","120182","1","Terminal Boa Vista","573","226"
"Terminal Boa Vista - 226 - Abaeté","104207","1","Abaeté","572","226"
"Rua João Havro, 13 - Boa Vista","120325","1","Mad. Penha / F. Noronha","11715","229"
"Rua João Havro, 13 - Boa Vista","120363","1","Mad. Penha / F. Noronha","11733","229"
"Rua Clementina Kulik, 158 - Santa Candida","130585","1","Terminal Santa Cândida","1950","231"
"Terminal Santa Cândida - 231 - Banestado / Califórnia","105906","1","Banestado","1947","231"
"Terminal Santa Cândida - 231 - Banestado / Califórnia","105909","1","Califórnia","1949","231"
"Rua Quintino Bocaiúva, 493 - Campo Pequeno - Colombo - PR","350042","1","Terminal Santa Cândida","1948","231"
"Terminal Santa Cândida - 232 - Aliança","105903","1","Aliança","583","232"
"R. Thereza Lopes Skroski, 485 - Santa Cândida","120990","1","Terminal Santa Cândida","584","232"
"Terminal Santa Cândida - 233 - Olaria","105908","1","Olaria (Circular)","585","233"
"Terminal Santa Cândida - 236 - São Benedito","105904","1","São Benedito","586","236"
